Product Code,Description,Creditor Code,Creditor Name,Supplier Cost Date,Supplier Cost,"Additional
Cost Bs",Latest Cost Bs,Supplier Standard Cost,Minimum Order Quantity,Vendors Code,"Lead
Time","Time
Unit","Last
Receipt",Default
EABPER42-25,White 42ml Back Pre-printed/Prefilled Spray Sol.-Blue Cap,EASYC,"Easyclean Co.,Ltd",31/05/2018,$0.515,$0.036,$0.551,$0.360,,,12,Weeks,31/05/2018,0
EABPER42-25,White 42ml Back Pre-printed/Prefilled Spray Sol.-Blue Cap,EASYCUSD,"Easyclean Co.,Ltd",14/05/2019,$0.360,$0.071,$0.619,$0.360,,,12,Weeks,14/05/2019,1
EABPER42-44,White 42ml Back Pre-printed/Prefilled Spray Sol.-Red Cap,EASYC,"Easyclean Co.,Ltd",9/07/2018,$0.526,$0.064,$0.590,$0.000,,,,Weeks,9/07/2018,0
EABPER42-44,White 42ml Back Pre-printed/Prefilled Spray Sol.-Red Cap,EASYCUSD,"Easyclean Co.,Ltd",14/05/2019,$0.360,$0.071,$0.619,$0.360,,,12,Weeks,14/05/2019,1
EABPER42EP-01,White 42ml EyePro Back /Prefilled Spray Sol.- Black Cap,EASYCUSD,"Easyclean Co.,Ltd",15/10/2018,$0.360,$0.050,$0.603,$0.360,,,12,Weeks,15/10/2018,1
EABPER42EP-08,White 42ml EyePro Back /Prefilled Spray Sol.-Silver Cap,EASYCUSD,"Easyclean Co.,Ltd",15/10/2018,$0.360,$0.050,$0.603,$0.360,,,12,Weeks,15/10/2018,1
EABPER42VQ-01,White 42ml Visique Back /Prefilled Spray Sol.-Black Cap,EASYCUSD,"Easyclean Co.,Ltd",15/10/2018,$0.360,$0.050,$0.603,$0.360,,,12,Weeks,15/10/2018,1
EABPER42VQ-08,White 42ml Visique Back /Prefilled Spray Sol.-Silver Cap,EASYCUSD,"Easyclean Co.,Ltd",15/10/2018,$0.360,$0.050,$0.603,$0.360,,,12,Weeks,15/10/2018,1
EABPER42VQ-25,White 42ml Visique Back /Prefilled Spray Sol.-Blue Cap,EASYCUSD,"Easyclean Co.,Ltd",15/10/2018,$0.360,$0.050,$0.603,$0.360,,,12,Weeks,15/10/2018,1
EAPER200,White 200ml Prefilled Spray Sol.,EASYCUSD,"Easyclean Co.,Ltd",12/02/2019,$0.590,$0.232,$1.109,$0.590,,,12,Weeks,12/02/2019,1
EAPER42-01,White 42ml Prefilled Spray Sol. - Black Cap,EASYC,"Easyclean Co.,Ltd",27/03/2018,$0.472,$0.045,$0.517,$0.350,,,12,Weeks,27/03/2018,0
EAPER42-01,White 42ml Prefilled Spray Sol. - Black Cap,EASYCUSD,"Easyclean Co.,Ltd",7/06/2019,$0.345,$0.065,$0.586,$0.345,,,12,Weeks,7/06/2019,1
